глава,тип,общий вопрос/тема,ответ/объяснение
Приложение (B),Юридическое обоснование,Как применяются правила обмена золота и серебра к современным бумажным деньгам?,Современные ученые исламского фикха провели аналогию между бумажными и монетными деньгами и золотыми и серебряными деньгамиупомянутыми в хадисах. Валюта каждой страны рассматривается как отдельный видподобно тому как золото и серебро являются разными видами.
Приложение (B),Юридическое обоснование,Каковы условия обмена одинаковых и разных валют?,При обмене валют одного вида требуется равенство сумм и одновременное вступление во владение. При обмене валют разных видов равенство сумм не требуетсяно сохраняется условие вступления во владение до расставания сторон.
Приложение (B),Юридическое обоснование,Каково исходное постановление Шариата о торговле валютой и на чем оно основано?,Исходное постановление - дозволенностьтак как это подпадает под общие исламские положения о разрешенности продажи золотасеребра и денег как одного из способов получения прибыли. Основанием служат хадисы об обмене валют.
Приложение (B),Юридическое обоснование,Почему конструктивное владение приравнивается к фактическому?,Конструктивное владение приравнивается к фактическомупотому что Шариат не предписал конкретного способа вступления во владение. Поэтому следует обращаться к преобладающим обычаям в деловом сообществе.
Приложение (B),Юридическое обоснование,Почему агентство (представительство) разрешено при обмене валют?,Агентство разрешенопотому что оно допустимо в отношении деятельностикоторую принципал мог бы осуществить лично. Поскольку человек может сам совершить обменон может уполномочить на это других от своего имени.
Приложение (B),Юридическое обоснование,Каково шариатское основание для использования современных средств связи при заключении договоров?,"Международная академия исламского фикха вынесла решение по этому вопросу, подтвердив то, что уже было одобрено юристами относительно допустимости заключения договора посредством письма и сообщений, которые могут быть поняты. Это распространяется на все современные средства, такие как телекс, факс, интернет и т. д."
Приложение (B),Юридическое обоснование,Почему запрещено обязывающее двустороннее обещание при обмене валют?,"Большинство шариатских юристов поддерживают запрет, потому что обязывающие двусторонние обещания эквивалентны договору, а также потому, что за таким обещанием не следует немедленное вступление во владение встречными стоимостями, так как это не является намерением сторон в данный момент."
Приложение (B),Юридическое обоснование,"Каково основание для разрешения обмена валют, являющихся долгами?",Основанием является точто это влечет за собой погашение долга. Это не включает в себя никаких запрещенных операцийкасающихся долговбудь то продажа или покупка.
Приложение (B),Основа Шариата / Хадис,Какой хадис подтверждает дозволенность погашения долга в другой валюте по курсу дня?,"Хадис от Ибн Умара, который продавал верблюдов за динары, а получал дирхамы, и наоборот. Пророк (мир ему) ответил: ""Нет возражений против того, чтобы вы брали другую валюту по курсу дня, при условии, что вы не расстаетесь друг с другом, имея непогашенный долг между вами""."
SS(1),Постановление Шариата,Допустимо ли совмещение обмена валюты и денежного перевода?,Дадопустимо. Основанием является достижение конструктивного владения посредством банковского тратты на суммувыданную в одной валюте в обмен на суммууплаченную в другой валюте с целью ее перевода.
SS(1),Юридическое обоснование,На чем основано решение о совмещении обмена валюты и перевода денег?,Решение Международной академии исламского фикха гласитчто такая операция основана на обмене валюты и переводе денег. Обмен валюты происходит до переводакогда клиент платит банкуа банксогласовав курсвыпускает тратту на основе перевода долга.
SS(1),Постановление Шариата,Какая форма торговли валютой недопустима?,Недопустимо предоставление финансового инструмента клиентукоторый позволяет ему торговать суммамикоторыми он не владеети продавать суммыкоторыми он не владеет.
SS(1),Постановление Шариата,Какова допустимая альтернатива торговле валютой с использованием заемных средств?,Допустимоесли Учреждение предоставляет клиенту заем (кредит)чтобы тот мог торговать суммамикоторыми он уже владеет.
SS(1),Условие / Постановление Шариата,При каком условии заем для торговли валютой становится недопустимым?,Если Учреждение ставит условием займа точто клиент должен осуществлять торговлю валютой через это же Учреждение. Это недопустимотак как является совмещением займа и договора обмена и приносит выгоду кредитору.
Предисловие,Цель стандарта,"Какова цель стандарта по дебетовым, платежным и кредитным картам?","Объяснить типы и характеристики карт, установить принципы Шариата для их использования исламскими финансовыми учреждениями и их клиентами, а также разъяснить шариатские постановления об использовании карт в различных обстоятельствах."
SS(2) - 1,Область применения стандарта,Что охватывает стандарт по картам?,Стандарт охватывает дебетовыеплатежные (charge) и кредитные картывыпускаемые Учреждениями для снятия наличныхполучения кредита или оплаты товаров и услуг.
SS(2) - 2/1,Характеристика,Каково основное условие выпуска дебетовой карты?,Учреждение выпускает карту клиенту при наличии у него доступных средств на счете.
SS(2) - 2/1,Характеристика,Какие операции позволяет совершать дебетовая карта?,Карта дает право снимать наличные или оплачивать товары/услуги в пределах доступного остатка на счете. Списание средств происходит немедленнои карта не предоставляет кредит.
SS(2) - 2/1,Характеристика,Взимается ли плата за использование дебетовой карты?,Обычно плата не взимаетсяза исключением случаев снятия наличных или покупки в другой валюте через другое финансовое учреждение.
SS(2) - 2/1,Характеристика,Может ли эмитент взимать плату за выпуск дебетовой карты?,Даучреждение-эмитент может взимать плату за выпуск карты или выпускать ее бесплатно.
SS(2) - 2/1,Характеристика,Взимает ли эмитент дебетовой карты комиссию с продавца?,Данекоторые Учреждения взимают с продавцапринимающего оплату картойкомиссию в виде процента от суммы таких платежей.
SS(2) - 2/2,Характеристика,Что такое платежная карта (charge card)?,Это картапредоставляющая кредитную линию до определенного лимита на определенный срока также являющаяся средством погашения.
SS(2) - 2/2,Характеристика,Предоставляет ли платежная карта (charge card) возобновляемый кредит?,Неткарта не предоставляет возобновляемый кредит. Владелец карты обязан оплатить купленные товары или услуги до конца установленного кредитного периода.
SS(2) - 2/2,Характеристика,Что происходит при просрочке платежа по платежной карте (charge card)?,Если владелец карты задерживает платеж сверх льготного периодана него налагаются процентыно не со стороны исламских Учреждений.
SS(2) - 2/2,Характеристика,Взимает ли эмитент платежной карты (charge card) комиссию с держателя карты за покупки?,НетУчреждение-эмитент не взимает с держателя карты комиссию в процентах от покупок.
SS(2) - 2/2,Характеристика,Кто платит комиссию эмитенту платежной карты (charge card)?,Учреждение-эмитент получает комиссию в процентах от стороныпринимающей карту к оплате (продавца).
SS(2) - 2/3,Характеристика,Что такое кредитная карта?,Это картапредоставляющая возобновляемую кредитную линию в рамках установленного лимита и кредитного периода. Она также является средством платежа.
SS(2) - 2/3,Характеристика,Есть ли льготный период по кредитной карте?,При покупке товаров и услуг предоставляется льготный (беспроцентный) период. При снятии наличных льготный период отсутствует.
SS(2) - 2/3,Характеристика,"Что происходит, если не погасить долг по кредитной карте в льготный период?",Держателю карты разрешается отсрочить платежно за это на него начисляются проценты на весь срок кредита.
SS(2) - 3/1,Постановление Шариата,Каково постановление Шариата о выпуске дебетовых карт?,Учреждениям разрешено выпускать дебетовые картыесли держатель не превышает доступный баланс на своем счете и в результате операции не возникают проценты.
SS(2) - 3/2,Постановление Шариата,Разрешен ли выпуск платежных карт (charge cards)?,ДаУчреждениям разрешено выпускать платежные карты при соблюдении определенных условий.
SS(2) - 3/2/1,Условие,Каково первое условие для выпуска платежной карты (charge card)?,Держатель карты не должен быть обязан платить проценты в случае задержки платежа.
SS(2) - 3/2/2,Условие,"Что делать, если для получения платежной карты (charge card) требуется гарантийный депозит?",Если Учреждение требует внести гарантийный депозитнедоступный для использования держателемдолжно быть четко указаночто Учреждение будет инвестировать эти деньги в интересах держателя на основе Мударабаа прибыль будет делиться в оговоренной пропорции.
SS(2) - 3/2/3,Условие,Какое ограничение на использование карты должно быть установлено?,Учреждение должно оговоритьчто держатель карты не может использовать ее в целяхзапрещенных Шариатоми что Учреждение имеет право отозвать карту в случае нарушения этого условия.
SS(2) - 3/3,Постановление Шариата,Каково постановление Шариата о выпуске кредитных карт?,Учреждению не разрешается выпускать кредитные картыкоторые предоставляют возобновляемую кредитную линию под процентыгде держатель платит проценты за возможность погашать долг в рассрочку.
SS(2) - 4/1/1,Постановление Шариата,Могут ли исламские Учреждения вступать в международные карточные организации?,Даразрешенопри условиичто Учреждения избегают любых нарушений Шариатакоторые могут быть предписаны этими организациями.
SS(2) - 4/1/2,Постановление Шариата,Разрешено ли платить взносы международным карточным организациям?,Даразрешено платить членские взносыплату за обслуживание и другие сборыесли они не включают процентные платежидаже косвенные.
SS(2) - 4/2,Постановление Шариата,Может ли эмитент карты взимать комиссию с продавцов?,ДаУчреждению-эмитенту разрешается взимать комиссию со стороныпринимающей картув виде процента от покупной цены товаров и услуг.
SS(2) - 4/3,Постановление Шариата,Может ли эмитент карты взимать плату с держателя карты?,ДаУчреждению-эмитенту разрешается взимать с держателя карты плату за членствопродление и замену карты.
SS(2) - 4/4,Постановление Шариата,"Разрешена ли покупка золота, серебра или валюты с помощью карт?",Разрешается покупать золотосеребро или валюту с помощью дебетовой или платежной (charge) картыесли Учреждение-эмитент может произвести расчет с принимающей стороной без задержки.
SS(2) - 4/5/1,Постановление Шариата,Разрешено ли снимать наличные с помощью карты?,Дадержателю карты разрешено снимать наличные в пределах доступных средств или больше с согласия Учрежденияпри условиичто проценты не начисляются.
SS(2) - 4/5/2,Постановление Шариата,Какую комиссию можно взимать за снятие наличных?,Разрешено взимать фиксированную плату за услугу снятия наличныхпропорциональную предоставленной услугено не платукоторая изменяется в зависимости от снятой суммы.
SS(2) - 4/6/1,Постановление Шариата,Какие привилегии для держателей карт запрещены?,Не разрешается предоставлять держателю карты привилегиизапрещенные Шариатомтакие как традиционное страхование жизнивход в запрещенные места или запрещенные подарки.
SS(2) - 4/6/2,Постановление Шариата,Какие привилегии для держателей карт разрешены?,Разрешено предоставлять привилегиине запрещенные Шариатомтакие как приоритетное право на услугискидки на бронирование отелейавиабилетовв ресторанах и т.п.
Приложение (B) - 1,Юридическое обоснование,Почему разрешен выпуск дебетовых карт?,Их выпуск не влечет за собой каких-либо запретов по Шариату.
Приложение (B) - 2,Юридическое обоснование,Почему разрешен выпуск платежных карт (charge cards)?,Их выпуск не влечет за собой запретов по Шариатуи договор не предоставляет кредитные средства в обмен на проценты. Запрет может возникнуть из-за условий договора или действий держателя картыпротиворечащих Шариату.
Приложение (B) - 3,Юридическое обоснование,Почему запрещен выпуск кредитных карт с возобновляемой процентной линией?,Их выпуск основан на договорепредоставляющем право на возобновляемый кредит на условияхвключающих проценты (Риба)что запрещено Кораномхадисами и консенсусом мусульманских ученых.
Приложение (B) - 3,Постановление Шариата,Допустим ли выпуск кредитных карт без процентов?,Давыпуск кредитных картсвободных от Риба (процентов) или любого другого юридического запретадопустим.
Приложение (B) - 5,Юридическое обоснование,Почему разрешено взимать комиссию с продавцов?,Это можно рассматривать частично как комиссию за брокерские и маркетинговые услугиа также как плату за услугу по взысканию долга.
Приложение (B) - 6,Юридическое обоснование,Почему разрешено взимать сборы с держателя карты?,Эти сборы взимаются в обмен на правопредоставленное клиентуносить карту и пользоваться ее услугами.
Приложение (B) - 7,Юридическое обоснование,Как покупка золота/серебра/валюты с помощью карты соответствует требованию о немедленном обмене?,Использование карты и подписание платежного купона представляет собой конструктивное владение (кабд хукми)одобренное Шариатом. Бухгалтерская проводка считается конструктивным владениемчто удовлетворяет юридическому условию вступления во владение.
Приложение (B) - 8,Юридическое обоснование,Почему разрешено снимать наличные сверх доступного остатка без процентов?,Это считается разрешенным займом (кард)если Учреждение согласилось на это и не оговорило уплату процентов на такие суммы.
